date,count
2022-12-24,299998
2022-12-25,374446
2022-12-26,446596
2022-12-27,517897
2022-12-28,578827
2022-12-29,629750
2022-12-30,675342
2022-12-31,717104
2023-01-01,748605
2023-01-02,780497
2023-01-03,814001
2023-01-04,846149
2023-01-05,877324
2023-01-06,909647
2023-01-07,937895
2023-01-08,964275
2023-01-09,994364
2023-01-10,1011860
2023-01-11,1047304
2023-01-12,1074694
2023-01-13,1100738
2023-01-14,1131887
2023-01-15,1160536
2023-01-16,1184122
2023-01-17,1206208
2023-01-18,1226977
2023-01-19,1247548
2023-01-20,1268289
2023-01-21,1290323
2023-01-22,1313238
2023-01-23,1333953
2023-01-24,1355977
2023-01-25,1378330
2023-01-26,1398874
2023-01-27,1418671
2023-01-28,1439574
2023-01-29,1459630
2023-01-30,1479068
2023-01-31,1496505
2023-02-01,1514241
2023-02-02,1533389
2023-02-03,1551822
2023-02-04,1571820
2023-02-05,1592190
2023-02-06,1611112
2023-02-07,1629913
2023-02-08,1647912
2023-02-09,1665445
2023-02-10,1684242
2023-02-11,1702561
2023-02-12,1721532
2023-02-13,1737551
2023-02-14,1753550
2023-02-15,1771243
