date,count
2022-11-15,295839
2022-11-16,344245
2022-11-17,378343
2022-11-18,403292
2022-11-19,427139
2022-11-20,447110
2022-11-21,460380
2022-11-22,473861
2022-11-23,488583
2022-11-24,499162
2022-11-25,508622
2022-11-26,519166
2022-11-27,528748
2022-11-28,536272
2022-11-29,544292
2022-11-30,551391
2022-12-01,558803
2022-12-02,565875
2022-12-03,574305
2022-12-04,583246
2022-12-05,590934
2022-12-06,598839
2022-12-07,607110
2022-12-08,614943
2022-12-09,622362
2022-12-10,630524
2022-12-11,638134
2022-12-12,644625
2022-12-13,651013
2022-12-14,657189
2022-12-15,663483
2022-12-16,669764
2022-12-17,677214
2022-12-18,683506
2022-12-19,688813
2022-12-20,695658
2022-12-21,702275
2022-12-22,708169
2022-12-23,714750
2022-12-24,721740
2022-12-25,728003
2022-12-26,734899
2022-12-27,741701
2022-12-28,747890
2022-12-29,753870
2022-12-30,759383
2022-12-31,764621
2023-01-01,768485
2023-01-02,772821
2023-01-03,777473
2023-01-04,782163
2023-01-05,786833
2023-01-06,791327
2023-01-07,795481
2023-01-08,799453
2023-01-09,804446
2023-01-10,807310
2023-01-11,812433
2023-01-12,817472
2023-01-13,821899
2023-01-14,827258
2023-01-15,832370
2023-01-16,836280
2023-01-17,840259
2023-01-18,844320
2023-01-19,848181
2023-01-20,852693
2023-01-21,857536
2023-01-22,862337
2023-01-23,866233
2023-01-24,870107
2023-01-25,874064
2023-01-26,877750
2023-01-27,881341
2023-01-28,885355
2023-01-29,889422
2023-01-30,893081
2023-01-31,896618
2023-02-01,900324
2023-02-02,903462
2023-02-03,906781
2023-02-04,910660
2023-02-05,914396
2023-02-06,917251
2023-02-07,920572
2023-02-08,923693
2023-02-09,926802
2023-02-10,930276
2023-02-11,933535
2023-02-12,937061
2023-02-13,940104
2023-02-14,943084
2023-02-15,946328
2023-02-16,948895
2023-02-17,951501
2023-02-18,955442
2023-02-19,958998
2023-02-20,961941
2023-02-21,964915
2023-02-22,967785
2023-02-23,971172
2023-02-24,974094
2023-02-25,977628
2023-02-26,980837
2023-02-27,983491
2023-02-28,986190
2023-03-01,988925
2023-03-02,991692
2023-03-03,994693
