date,count
2022-10-30,5
2022-10-31,202307
2022-11-01,393886
2022-11-02,486803
2022-11-03,565144
2022-11-04,618570
2022-11-05,669946
2022-11-06,716669
2022-11-07,761100
2022-11-08,794804
2022-11-09,825276
2022-11-10,853196
2022-11-11,880703
2022-11-12,911697
2022-11-13,943192
2022-11-14,970763
2022-11-15,995563
2022-11-16,1018173
2022-11-17,1038754
2022-11-18,1059155
2022-11-19,1080518
2022-11-20,1100701
2022-11-21,1117915
2022-11-22,1135384
2022-11-23,1154173
2022-11-24,1171277
2022-11-25,1187801
2022-11-26,1204868
2022-11-27,1221748
2022-11-28,1237180
2022-11-29,1254416
2022-11-30,1270148
2022-12-01,1283531
2022-12-02,1297510
2022-12-03,1313193
2022-12-04,1328085
2022-12-05,1340516
2022-12-06,1353946
2022-12-07,1367479
2022-12-08,1381439
2022-12-09,1395397
2022-12-10,1411075
2022-12-11,1425591
2022-12-12,1438994
2022-12-13,1452004
2022-12-14,1463838
2022-12-15,1475684
2022-12-16,1487291
2022-12-17,1499857
2022-12-18,1511372
2022-12-19,1521622
2022-12-20,1531956
2022-12-21,1542846
2022-12-22,1553898
2022-12-23,1564795
2022-12-24,1574658
2022-12-25,1584513
2022-12-26,1595564
2022-12-27,1606353
2022-12-28,1617498
2022-12-29,1628717
2022-12-30,1639015
2022-12-31,1649427
2023-01-01,1657292
2023-01-02,1665682
2023-01-03,1674414
2023-01-04,1683491
2023-01-05,1692668
2023-01-06,1701797
2023-01-07,1710871
2023-01-08,1719876
2023-01-09,1731231
2023-01-10,1737518
2023-01-11,1749427
2023-01-12,1759427
2023-01-13,1768870
2023-01-14,1779261
2023-01-15,1788944
2023-01-16,1797352
2023-01-17,1805367
2023-01-18,1813499
2023-01-19,1821329
2023-01-20,1828994
2023-01-21,1837534
2023-01-22,1846098
2023-01-23,1854396
2023-01-24,1863083
2023-01-25,1872021
2023-01-26,1880387
2023-01-27,1888567
2023-01-28,1897191
2023-01-29,1905919
2023-01-30,1914362
2023-01-31,1922302
2023-02-01,1930127
2023-02-02,1937368
2023-02-03,1945124
2023-02-04,1953019
2023-02-05,1960970
2023-02-06,1968063
2023-02-07,1975295
2023-02-08,1982163
2023-02-09,1988779
2023-02-10,1995822
2023-02-11,2002937
2023-02-12,2010801
2023-02-13,2017536
2023-02-14,2024240
2023-02-15,2031281
2023-02-16,2037018
2023-02-17,2042865
2023-02-18,2049828
2023-02-19,2056998
2023-02-20,2063146
2023-02-21,2069591
2023-02-22,2075953
2023-02-23,2083403
2023-02-24,2090783
2023-02-25,2098492
2023-02-26,2105870
2023-02-27,2113254
2023-02-28,2120356
2023-03-01,2127399
2023-03-02,2134266
2023-03-03,2141679
2023-03-04,2149149
2023-03-05,2156858
2023-03-06,2164807
2023-03-07,2173019
2023-03-08,2180931
2023-03-09,2188141
2023-03-10,2195267
2023-03-11,2202723
2023-03-12,2210157
2023-03-13,2217147
2023-03-14,2224189
2023-03-15,2231115
2023-03-16,2238002
2023-03-17,2245018
2023-03-18,2252151
2023-03-19,2259339
2023-03-20,2266636
2023-03-21,2273787
2023-03-22,2281048
2023-03-23,2288159
2023-03-24,2295502
2023-03-25,2302442
2023-03-26,2309074
2023-03-27,2315892
2023-03-28,2322621
2023-03-29,2329595
2023-03-30,2336766
2023-03-31,2343957
2023-04-01,2350639
2023-04-02,2357872
2023-04-03,2365500
2023-04-04,2373377
2023-04-05,2380668
2023-04-06,2388314
2023-04-07,2395676
2023-04-08,2403093
2023-04-09,2410574
2023-04-10,2417381
2023-04-11,2424334
2023-04-12,2430645
2023-04-13,2436620
2023-04-14,2442435
2023-04-15,2448572
2023-04-16,2454604
2023-04-17,2459903
2023-04-18,2464791
2023-04-19,2470001
2023-04-20,2475725
2023-04-21,2481328
2023-04-22,2487603
2023-04-23,2493555
2023-04-24,2498453
2023-04-25,2503107
2023-04-26,2507860
2023-04-27,2512416
2023-04-28,2517044
2023-04-29,2522202
2023-04-30,2527091
2023-05-01,2531527
2023-05-02,2536065
2023-05-03,2540887
2023-05-04,2545320
2023-05-05,2549552
2023-05-06,2553800
2023-05-07,2558183
